局数,龙,和,虎,赢,下注(龙),下注(虎)
179,8200,10000,9500,龙,5000,0
180,2200,0,3000,虎,0,0
181,6400,0,4000,龙,0,2000
182,18100,0,7400,虎,0,6000
183,36300,100,91400,龙,24000,0
184,8000,200,42300,和,6000,0
185,120000,200,31500,虎,0,24000
186,14000,100,9200,虎,0,6000
187,99000,7400,15300,龙,0,12000
188,6000,500,6000,虎,0,0
189,13800,200,7100,龙,0,6000
190,2800,0,5100,虎,1000,0
191,7200,10000,3600,和,0,2000
192,39100,300,23200,虎,0,16000
193,25100,200,2120800,虎,24000,0
194,12100,0,6000,和,0,3000
195,53100,400,27700,龙,0,18000
196,2800,0,1100,龙,0,0
197,3800,0,2000,虎,0,1000
198,1000,0,1400,龙,0,0
199,310000,1000,8600,龙,0,6000
200,21300,0,13000,龙,0,12000
201,82000,400,30400,龙,0,24000
202,7500,1000,52600,龙,6000,0
203,7000,1000,103500,虎,6000,0
204,9500,1000,21000,和,6000,0
205,7600,0,22100,龙,6000,0
206,1832000,1000,16300,龙,0,12000
207,3641000,0,25300,龙,0,12000
208,6009200,1000000,6000,虎,0,10000
209,1000,0,1000,虎,0,0
210,3000,3900,4700,虎,2000,0
211,6400,0,4000,龙,0,3000
212,3200,0,1000,虎,0,0
213,4000,0,7600,龙,3000,0
214,6311100,0,8000,虎,0,6000
215,2200,300,3300,虎,1000,0
216,3000,0,1300,龙,0,0
217,4500,0,5000,和,0,0
218,4300,0,2400,虎,0,1000
219,900,0,1500,龙,0,0
220,25300,0,13000,龙,0,12000
221,26500,0,7000,虎,0,6000
222,12200,100,7500,虎,0,6000
223,8400,0,11200,龙,0,0
224,15800,1100,21800,和,12000,0
225,1100,0,1400,龙,0,0
226,32000,0,19300,龙,0,17000
227,6000,1000,5000,虎,0,3000
228,14000,500,9200,龙,0,7000
229,208000,1000,19000,龙,0,18000
230,54600,400,25000,虎,0,24000
231,950000,400,13000,龙,0,12000
232,91000,1000,24700,虎,0,18000
233,26200,1100,15600,龙,0,12000
234,12200,2100,6200,和,0,5000
235,11700,2200,6100,虎,0,4000
236,13000,100,21600,虎,12000,0
237,1210000,800,29000,龙,0,24000
238,21900,1200,23300,虎,0,12000
239,3900,9000,8200,虎,1000,0
240,7800,1500,4100,龙,0,0
241,5000,300,7200,龙,2000,0
242,21500,2100,45500,和,12000,0
243,7300,2100,10400,虎,2000,0
244,82200,1400,32500,虎,0,12000
245,103300,1900,53300,龙,0,24000
246,14000,1100,13800,虎,0,0
247,9600,400,7300,龙,3000,0
248,10000,1200,11200,虎,0,0
249,18100,1200,17500,龙,7000,0
250,27200,1500,16000,虎,0,12000
251,10500,200,16900,虎,7000,0
252,1000,0,1000,虎,0,0
253,1000,400,5000,虎,0,0
254,2500,1100,4000,虎,1000,0
255,7000,2500,3100,虎,0,1000
256,15900,15000,3000,龙,0,2000
257,49600,3700,31000,虎,0,0
258,93500,2200,19100,虎,0,18000
259,231800,0,38000,虎,0,24000
260,481400,3000,13000,龙,0,12000
261,3400,0,2000,龙,0,1000
262,26800,2700,11300,虎,0,10000
263,31000,0,7400,虎,0,6000
264,66000,4000,37300,和,0,24000
265,126400,1000,26100,虎,0,24000
266,233800,2800,31000,龙,0,24000
267,76200,4100,27000,虎,0,12000
268,164700,6000,19100,龙,0,12000
269,58200,2200,38100,龙,0,12000
270,31600,2200,19900,虎,0,0
271,25000,2000,28700,虎,17000,0
272,21000,100,13200,虎,0,12000
273,89600,1000,31300,虎,0,24000
274,11200,1100,6900,虎,0,5000
275,2700,800,3000,龙,0,0
276,2900,1600,5000,虎,0,0
277,1800,0,1000,龙,0,0
278,1000,0,1600,虎,0,0
279,1000,100,1000,虎,0,0
280,1000,0,1000,虎,0,0
281,2000,0,1000,虎,0,0
282,2100,1000,3300,龙,1000,0
283,2200,1100,3400,龙,1000,0
284,2100,0,3000,虎,0,0
285,1400,5100,3300,虎,0,0
286,2000,1100,3400,龙,0,0
287,2200,100,1900,龙,0,0
288,2900,0,2900,虎,0,0
289,2600,100,3500,虎,0,0
290,4000,100,4800,虎,0,0
291,15200,2300,15800,龙,12000,0
292,6900,3120000,11000,虎,3000,0
293,25600,5400,176700,虎,24000,0
294,19500,11000,102900,龙,12000,0
295,50800,6500,11113400,龙,24000,0
296,46200,5500,84200,龙,24000,0
297,46200,500,329100,虎,24000,0
298,26000,300,116900,虎,24000,0
299,31400,300,18500,龙,0,6000
300,52200,500,26400,龙,0,24000
301,21200,200,9500,龙,0,6000
302,19200,1300,221400,虎,18000,0
303,27200,300,58000,龙,24000,0
304,26300,200,201000,和,24000,0
305,26600,0,401000,虎,24000,0
306,52600,0,16800,龙,1000,12000
307,2200,0,1000,龙,0,0
308,5000,0,7600,龙,4000,0
309,2700,0,4000,虎,1000,0
310,1900,0,3000,龙,0,0
311,1800,0,1000,虎,0,0
312,3300,600,3200,虎,0,0
313,1500,300,2100,龙,0,0
314,1800,400,3000,虎,0,0
315,4200,200,7200,龙,3000,0
316,2700,100,5300,虎,1000,0
317,104000,2100,45600,龙,0,24000
318,92100,3600,101000,虎,0,0
319,301000,700,15000,虎,0,6000
320,401000,0,26000,虎,0,24000
321,702100,1000,33000,龙,0,24000
322,203200,2000,32400,虎,0,18000
323,303000,700,13000,龙,0,6000
324,7900,0,504500,龙,6000,0
325,27800,200,402300,龙,24000,0
326,19000,1100300,700100,虎,18000,0
327,6205900,200,25000,虎,0,24000
328,7000,10000,711000,龙,6000,0
329,25000,20000,1111000,虎,24000,0
330,321000,4000,7000,虎,0,6000
331,1401000,14000,47200,龙,0,24000
332,19000,3000,244000,龙,18000,0
333,49000,3000,1016000,龙,24000,0
334,12000,500,1001000,龙,6000,0
335,27000,1900,861000,虎,18000,0
336,210000,1000,641000,和,12000,0
337,94000,0,500000,龙,0,0
338,31000,600,819900,虎,24000,0
339,3200,0,301000,虎,0,0
340,19000,0,201300,和,18000,0
341,401200,0,17000,虎,0,6000
