局数,龙,和,虎,赢,下注(龙),下注(虎)
782,3400,0,1001000,虎,0,0
783,302700,0,13000,龙,0,12000
784,2000,0,1000,龙,0,0
785,501200,1200,16200,龙,0,12000
786,7000,0,1302000,虎,6000,0
787,23700,0,304500,龙,18000,0
788,13000,0,606400,龙,12000,0
789,25000,0,1706400,龙,24000,0
790,25000,0,3301500,龙,24000,0
791,25000,0,491000,虎,24000,0
792,19500,0,961000,虎,18000,0
793,13000,100000,302000,龙,12000,0
794,2200,400,2000,虎,0,0
795,2000,0,2000,虎,0,0
796,7000,0,301000,龙,6000,0
797,23000,0,1302100,龙,12000,0
798,13000,0,3004000,龙,12000,0
799,25000,0,7607000,龙,24000,0
800,13000,0,15100,龙,12000,0
801,1000,0,1000,虎,0,0
802,1000,0,1000,龙,0,0
803,4000,0,501000,虎,6000,0
804,13000,0,301000,龙,12000,0
805,18000,0,1501000,龙,12000,0
806,2204000,1000,19000,龙,0,18000
807,701300,1000,235700,虎,0,12000
808,1500,1000,1000,龙,0,0
809,2500,1000,2000,虎,0,0
810,3000,21000,3500,虎,1000,0
811,2000,0,2500,龙,0,0
812,3000,1000,4000,龙,0,0
813,2500,1000,5000,龙,0,0
814,7000,1000,20100,和,6000,0
815,8000,0,33600,龙,7000,0
816,3100,100,102000,龙,0,0
817,25500,100,200600,和,24000,0
818,125100,200,503300,虎,24000,0
819,418200,200,13600,和,0,12000
820,1310100,7100,17100,虎,0,12000
821,2000,100,2100,虎,0,0
822,3000,2000,3300,龙,0,0
823,9500,300,7000,虎,0,6000
824,4300,300,2000,龙,0,1000
825,2000,300,3600,龙,1000,0
826,3300,200,1400,虎,0,0
827,1000,0,1800,虎,0,0
828,1500,1000,1000,龙,0,0
829,2000,0,1000,虎,0,0
830,1000,0,1000,虎,0,0
831,4000,0,7000,龙,3000,0
832,17000,0,121000,龙,12000,0
833,1000,0,1000,和,0,0
834,7500,0,15000,龙,6000,0
835,13000,0,22100,虎,10000,0
836,3100,0,1000,虎,0,0
837,1000,0,1000,虎,0,0
838,1300,0,1000,龙,0,0
839,4000,0,1500,虎,0,0
840,2000,0,3700,虎,1000,0
841,101000,0,14000,虎,0,12000
842,21000,0,11000,虎,0,6000
843,51000,0,20000,龙,0,18000
844,1000,0,1000,龙,0,0
845,13000,0,121100,龙,12000,0
846,7000,0,101000,虎,6000,0
847,1500,0,1000,龙,0,0
848,11400,0,4000,虎,0,5000
849,51000,0,25100,虎,0,24000
850,1500,0,1000,龙,0,0
851,1400,1200,1000,和,0,0
852,1000,0,1000,龙,0,0
853,26100,100,102100,龙,24000,0
854,13000,0,51100,龙,12000,0
855,1000,0,1000,虎,0,0
856,1000,0,1000,虎,0,0
857,1000,200,1100,虎,0,0
858,1000,0,1000,龙,0,0
859,2001800,0,13000,龙,0,12000
860,7000,0,510000,虎,6000,0
861,25000,0,902600,虎,24000,0
862,701000,1000,13000,龙,0,12000
863,1204100,0,19000,虎,0,18000
864,1000,0,1000,龙,0,0
865,19000,200000,901000,龙,18000,0
866,19000,0,31000,龙,18000,0
867,14600,0,22600,龙,12000,0
868,12800,100,7400,龙,0,5000
869,20000,0,7000,龙,0,6000
870,1400,700,3500,龙,0,0
871,5800,300,2500,虎,0,1000
872,9000,200,7300,龙,0,2000
873,3200,0,4000,虎,0,0
874,1000,0,2000,龙,0,0
875,1000,500,1000,虎,0,0
876,4000,300,7000,龙,0,1000
877,1000,0,1000,虎,0,0
878,19100,0,7400,虎,0,5000
879,9200,0,16600,龙,8000,0
880,1100,0,2700,虎,0,0
881,2100,0,3800,龙,1000,0
882,2100,0,1200,和,0,0
883,6400,1000,3400,龙,0,2000
884,3700,0,1900,虎,0,0
885,1100,0,1100,和,0,0
886,1100,100,1100,龙,0,0
887,1200,0,1100,龙,0,0
888,1100,0,1300,龙,0,0
889,1100,0,1400,龙,0,0
890,1100,0,1900,虎,0,0
891,1100,700,1100,龙,0,0
892,1600,0,1100,龙,0,0
893,1100,0,1200,龙,0,0
894,1100,0,1500,龙,0,0
895,1100,0,2100,龙,0,0
896,3700,0,2900,龙,0,0
897,1100,0,1400,虎,0,0
898,1100,200,1100,虎,0,0
899,1100,0,1100,虎,0,0
900,1100,0,1100,虎,0,0
901,1000,0,1000,虎,0,0
902,1000,0,1200,龙,0,0
903,1000,0,2800,虎,0,0
904,2000,0,4500,虎,1000,0
905,5000,0,7900,和,4000,0
906,2000,0,4500,和,1000,0
907,25000,0,501000,和,24000,0
908,13000,10000,1001000,龙,12000,0
909,1800,0,1000,龙,0,0
910,1000,0,1000,虎,0,0
911,1000,0,1000,龙,0,0
912,1000,0,1000,虎,0,0
913,1000,0,1800,虎,0,0
914,1600,0,2600,龙,0,0
915,1000,0,3000,龙,0,0
916,1000,0,1000,龙,0,0
917,1000,0,1900,龙,0,0
918,1700,0,2400,虎,0,0
919,2400,0,1100,和,0,0
920,2600,0,3000,虎,1000,0
921,4300,0,2000,虎,0,1000
922,1000,0,1000,虎,0,0
923,1500,0,1000,龙,0,0
924,4700,0,2000,龙,0,1000
925,1000,0,1000,虎,0,0
926,1000,0,1000,龙,0,0
927,1000,0,1000,虎,0,0
928,1100,0,1000,虎,0,0
929,6900,0,4000,龙,0,3000
930,1100,400,1400,龙,0,0
931,6000,100,3100,龙,0,2000
932,2000,100,6100,虎,1000,0
933,1000,100,1100,虎,0,0
934,1000,400,1000,龙,0,0
935,1000,0,1000,和,0,0
936,1200,0,1000,虎,0,0
937,1000,0,1400,虎,0,0
938,6200,500,3000,虎,0,1000
939,1000,0,1000,龙,0,0
940,1000,0,1000,虎,0,0
941,5000,0,7100,虎,4000,0
942,26300,4100,1470800,虎,24000,0
943,1300,0,1000,龙,0,0
944,1000,0,1000,虎,0,0
945,1000,0,1000,龙,0,0
946,1400,0,1000,和,0,0
947,1200,0,1000,和,0,0
948,21000,1000,13000,虎,0,12000
949,451000,0,7000,虎,0,6000
950,13000,0,812200,和,12000,0
951,13000,0,406600,虎,12000,0
952,796000,0,24000,龙,0,24000
953,13000,0,531000,龙,12000,0
954,1500,0,1000,虎,0,0
955,1300,0,1000,龙,0,0
956,1000,0,1000,虎,0,0
957,1600,0,1000,虎,0,0
958,1700,0,1000,龙,0,0
959,1000,0,1000,龙,0,0
960,425000,0,1041200,虎,24000,0
961,13000,0,701000,虎,12000,0
962,1000,0,1000,虎,0,0
963,1000,40000,1000,龙,0,0
964,1401000,0,13000,龙,0,12000
965,1000,0,1000,虎,0,0
966,1000,0,1000,龙,0,0
967,20800,0,12000,和,0,4000
1,17100,1000,31100,虎,6000,0
2,11100,100,22100,和,0,0
3,10600,0,13300,龙,0,0
4,11500,0,12300,虎,0,0
5,24800,0,14200,龙,0,4000
6,13300,0,23300,虎,0,0
7,60100,0,28200,虎,0,18000
8,20100,0,10200,虎,0,0
9,40300,0,13100,龙,0,6000
10,29900,1100,70200,虎,18000,0
11,30200,0,26200,虎,0,12000
12,48500,400,24700,龙,0,6000
13,17600,1400,10600,虎,5000,0
14,42100,100,22400,龙,0,12000
15,14200,1100,10300,龙,4000,0
16,20200,0,11400,虎,0,0
17,19700,2200,12000,虎,0,0
18,17000,1000,13000,虎,1000,1000
19,16000,2000,12000,虎,0,0
20,39000,1000,16000,虎,0,3000
21,18000,2000,24000,龙,0,0
22,23000,1000,33000,虎,0,0
23,29000,1200,41500,龙,12000,0
24,29700,2000,51000,龙,0,0
25,37900,0,41500,虎,0,0
26,21000,3000,31600,虎,0,0
27,35900,1700,31000,龙,0,0
