局数,龙,和,虎,赢,下注(龙),下注(虎)
187,24600,1600,15400,龙,0,0
188,0,1900,15800,虎,0,0
189,42500,4300,21900,龙,0,0
190,0,30000,36700,虎,0,0
191,81200,3300,66100,龙,0,0
192,43000,2000,9100,和,0,0
193,53500,3000,20100,龙,0,0
194,51700,3000,4300,龙,0,0
195,51900,3000,11300,龙,0,0
196,52000,3000,3000,虎,0,0
197,5700,1000,4100,虎,0,0
198,400,300,7700,虎,0,0
199,15100,800,7100,和,0,0
200,11700,0,8000,虎,0,0
201,17200,2000,900,龙,0,0
202,6300,1900,3500,虎,0,0
203,1700,1200,20300,龙,0,0
204,500,400,1900,龙,0,0
205,2500,1200,700,虎,0,0
206,2900,800,10000,虎,0,0
207,17500,0,1400,龙,0,0
208,5100,100,50100,虎,0,0
209,32300,400,22400,虎,0,0
210,43900,0,17000,龙,0,0
211,900,100,1000,虎,0,0
212,2000,100,2400,和,0,0
213,1000,800,14300,虎,0,0
214,3600,0,13900,虎,0,0
215,8800,500,9500,虎,0,0
216,21900,3200,8800,龙,0,0
217,6300,0,900,虎,0,0
218,4000,1100,66400,虎,0,0
219,9500,100,10100,和,0,0
220,13800,0,5300,虎,0,0
221,37100,0,300,龙,0,0
222,3000,0,700,龙,0,0
223,39500,100,7700,龙,0,0
224,3800,0,4700,虎,0,0
225,0,0,4600,龙,0,0
226,1600,0,154400,虎,0,0
227,4000,0,1600,虎,0,0
228,400,0,2700,龙,0,0
229,1200,0,3400,龙,0,0
230,400,0,0,虎,0,0
231,0,100,3100,龙,0,0
232,6200,0,700,虎,0,0
233,1000,0,1500,虎,0,0
234,1200,0,2000,龙,0,0
235,3300,100,200,龙,0,0
236,0,0,400,龙,0,0
237,300,0,2600,虎,0,0
238,4700,0,1300,龙,0,0
239,747100,0,2900,虎,0,0
240,2600,0,3500,虎,0,0
241,6700,0,100000,虎,0,0
242,2100,0,0,和,0,0
243,800,100,34900,虎,0,0
244,1000,0,0,龙,0,0
245,100,0,200,龙,0,0
246,0,0,1600,龙,0,0
247,0,0,0,虎,0,0
248,400,0,2000,龙,0,0
249,0,0,8100,龙,0,0
250,0,0,1000,虎,0,0
251,0,0,2300,龙,0,0
252,0,100,0,虎,0,0
253,1300,0,400,虎,0,0
254,700,0,900,龙,0,0
255,0,0,0,虎,0,0
256,0,0,1100,虎,0,0
257,2200,0,1600,虎,0,0
258,37000,0,2300,虎,0,0
259,31700,100,2800,虎,0,0
260,1600,500,1500,和,0,0
